pathway	UCH_02_Basal	UCH_02_Cronico	UCH_02_PosI	UCH_03_Basal	UCH_03_Cronico	UCH_03_PosI	UCH_04_Basal	UCH_04_Cronico	UCH_04_PosI	UCH_05_Basal	UCH_05_Cronico	UCH_05_PosI	UCH_07_Basal	UCH_07_Cronico	UCH_07_PosI	UCH_08_Basal	UCH_08_Cronico	UCH_08_PosI	UCH_09_Basal	UCH_09_Cronico	UCH_09_PosI	UCH_10_Basal	UCH_10_Cronico	UCH_10_PosI	UCH_11_Basal	UCH_11_Cronico	UCH_11_PosI	UCH_12_Basal	UCH_12_Cronico	UCH_12_PosI	UCH_13_Basal	UCH_13_Cronico	UCH_13_PosI	UCH_15_Basal	UCH_15_Cronico	UCH_15_PosI	UCH_16_Basal	UCH_16_Cronico	UCH_16_PosI	UCH_17_Basal	UCH_17_Cronico	UCH_17_PosI	UCH_18_Basal	UCH_18_Cronico	UCH_18_PosI	UCH_19_Basal	UCH_19_Cronico	UCH_19_PosI	UCH_20_Basal	UCH_20_Cronico	UCH_20_PosI	UCH_21_Basal	UCH_21_Cronico	UCH_21_PosI
PWY-6148	13.9351	1.9978	37.7315	2.0407	0	5.9914	0	0	0	0	0	0	47.4304	57.1301	14.6312	0	0	0	0	0	0	0	2.3922	0	0	0	0	9.9765	49.47	55.2975	0	0	0	9.9551	7.9689	9.9139	1.9979	9.9336	3.9917	17.8995	45.3731	41.4468	21.8953	9.9775	19.9038	0	0	0	0	1.9987	0	2.3067	0	0
PWY-6151	4209.388	4465.9244	5593.6053	7589.4842	8409.0185	7814.2463	5046.479	4966.4168	8084.7495	6737.8609	5534.7061	6674.7367	5789.7145	5332.7796	6509.4384	4206.8774	4111.3369	3598.4581	6613.7977	4842.301	6889.8714	5252.5211	5787.3819	1894.2708	5518.9928	4526.8941	6182.5231	5977.5533	5607.8646	5052.7909	5027.455	5404.6652	5156.5846	3523.0036	2476.8987	5500.783	3226.0246	2742.8022	3436.7697	5363.2725	5801.0997	5037.0088	4926.4273	5761.4241	5515.8018	7012.3019	2005.1648	4624.8546	3196.1531	4782.2019	4922.0325	3572.2455	5838.687	5708.3174
PWY-6163	5036.8135	5062.6123	7263.7235	9016.1741	9806.7103	9511.6697	5840.5913	6086.675	9262.0627	7505.9821	6711.5443	7559.1603	7013.2568	6552.6299	7529.2216	5110.8259	6120.15	5125.8319	7043.6259	5281.8881	7507.2848	5777.3223	6596.6947	2127.6486	6405.9579	5671.3563	6768.8793	7029.8658	6700.5546	5953.9331	7232.6443	6347.488	6509.3016	4169.7817	3093.9183	5834.4893	3744.5015	3164.7758	4081.4242	6119.2136	6530.0468	6120.8429	6034.4835	6845.2846	6435.6406	8022.263	2076.2923	5144.8512	3505.7618	5355.0453	5527.1922	4073.2333	6566.2328	6042.8088
PWY-6167	23.2218	3.3311	63.3515	3.6718	0	10.7873	0	0	0	0	0	0	79.7505	96.1145	23.2688	0	0	0	0	0	0	0	3.5277	0	0	0	0	16.625	82.9733	91.6707	0	0	0	16.89	13.2645	16.6294	3.5964	16.5877	6.6565	30.1784	75.6977	69.5013	38.0259	17.1591	33.731	0	0	0	0	3.3309	0	3.3301	0	0
PWY-6174	9.283	1.36	23.8594	1.4901	0	4.9234	0	0	0	0	0	0	31.0354	37.6651	9.9466	0	0	0	0	0	0	0	1.9777	0	0	0	0	7.7049	41.9291	37.1766	0	0	0	6.7633	5.2636	7.1137	1.6861	7.0157	4.1738	11.6409	27.5692	28.8482	15.3572	8.052	13.6574	0	0	0	0	1.7628	0	1.7417	0	0
PWY-621	5702.8933	6429.0546	8627.4514	11237.9366	13144.5605	12094.4342	7249.7703	6654.785	11644.5669	5212.0274	8314.629	8444.4384	6465.0825	5984.0479	8545.8197	4651.888	4163.2994	3658.0348	7316.9165	4782.2632	6150.8707	6869.6836	7773.5555	2299.1732	7918.6675	6375.6541	6523.1672	8858.0065	7788.7982	6974.8003	6957.0095	6346.1396	6488.3838	4634.8132	3448.2113	2606.5236	3565.746	2921.6305	4090.414	6185.8021	6322.6823	6010.2931	6100.4225	6741.7012	6777.6517	10451.2179	2531.4936	5457.267	2339.3744	5461.9479	5187.9568	5775.297	10595.7334	10151.6153
PWY-6263	57.3626	11.9198	100.4762	69.3172	43.1133	83.2488	118.8712	154.2152	102.1508	0	0	2.9985	652.2688	617.4416	216.9894	191.1118	193.2975	400.8801	307.1931	457.8456	578.2096	58.9442	160.2157	0	228.1312	454.6664	295.159	22.8598	107.6549	83.929	799.1105	379.9056	402.699	27.2035	43.1123	50.0024	20.7377	83.6784	119.094	304.2735	110.433	537.4685	257.1011	278.4105	235.1973	87.7427	14.8897	178.0165	69.8506	74.8313	111.5609	19.037	43.2172	2.9899
PWY-6269	4237.8564	4230.9313	5966.0591	7785.9372	7972.813	8159.4414	4585.142	4471.9541	7243.0223	7417.3028	5499.9639	6883.3767	6107.6033	6548.3644	6843.5444	3672.7892	5017.554	4042.1384	6427.8834	4662.5751	6160.0448	5387.0608	6023.1051	1971.4842	5870.9948	4985.0617	6764.1903	6131.033	5893.636	5148.3479	6428.5982	5788.2061	5969.2273	4120.6861	3043.5283	3409.186	3828.8376	2858.4579	3687.8769	6109.8011	6158.3985	5685.6649	5748.6609	6340.1686	6123.9541	6249.9015	1710.1381	4517.2632	2650.9232	4312.4052	4616.9376	2869.302	3235.414	3080.1988
PWY-6277	4946.635	4888.2129	6893.3244	8394.7272	9002.6558	8667.431	5707.9217	6244.2398	8443.9838	8194.0855	6292.505	7657.4131	7153.9122	7062.7667	7335.7167	4881.5223	6166.919	5255.7688	7132.774	5573.0017	7554.5829	5744.434	6432.3235	2216.3842	6137.0949	5797.7816	7127.4814	6468.6931	6519.1074	5642.2587	7347.5512	6607.1889	6692.8492	4008.0996	3001.4723	6496.1437	3864.412	3297.4181	4098.2994	6229.9006	6569.5209	6235.0958	6123.6647	6752.038	6321.4618	7830.7741	2206.1467	5254.3104	3564.5028	5250.7006	5467.477	3868.994	6468.8242	6349.9794
PWY-6282	2736.6542	3604.1608	1139.9135	810.1819	349.2623	250.8674	3703.1087	6726.2136	2856.083	11774.5736	3229.1062	9328.8113	3480.0855	5336.3168	4971.0739	2985.7638	2353.6942	3207.6134	6954.3009	6426.0235	8186.5994	3311.4918	3999.8288	2760.0264	3403.92	3113.3025	7376.8962	403.9341	2354.299	960.6837	4682.5733	6749.6118	5474.5493	285.1086	480.1406	599.7476	3099.8447	3535.5845	3653.0668	2413.7452	2737.1973	2058.6703	1762.3984	1279.6496	951.3005	5909.5808	2274.17	5731.2331	4001.0702	3632.6567	3042.2157	336.0881	524.9885	2257.3763
PWY-6317	4944.2484	5199.0006	6944.5912	8981.6447	10011.1895	9240.2401	5920.683	5007.2647	9521.2667	5312.4129	6976.6934	7072.873	6630.0025	6127.6018	7708.9531	4696.9007	4566.6417	3648.1269	6951.1901	3994.6871	6937.0283	6078.2508	6894.9329	2133.0535	6705.9539	5768.8023	6754.5232	6941.7364	6784.5086	5961.2121	5664.5237	5696.651	5920.0803	4022.899	2920.2121	3952.3115	3546.4265	2713.2803	3795.7812	6290.8593	6684.306	5866.5123	5715.1753	6470.1199	6238.9476	8615.3158	1662.8616	4784.2611	2988.4861	5244.223	5400.106	4464.1274	7932.4537	7757.1966
PWY-6349	9.3183	1.3331	25.2535	1.3332	0	3.9992	0	0	0	0	0	0	31.8416	38.326	9.3253	0	0	0	0	0	0	0	1.3332	0	0	0	0	6.6636	33.2186	37.1856	0	0	0	6.6575	5.3252	6.6436	1.3325	6.6422	2.6645	11.9736	30.5115	27.867	14.6273	6.6598	13.3078	0	0	0	0	1.333	0	1.3331	0	0
PWY-6350	8.7395	1.2498	23.6938	1.2499	0	3.7494	0	0	0	0	0	0	29.8885	36.0099	8.7444	0	0	0	0	0	0	0	1.2499	0	0	0	0	6.2478	31.1693	34.8961	0	0	0	6.2435	4.9943	6.2338	1.2494	6.2328	2.4985	11.2315	28.6407	26.1564	13.7223	6.2452	12.4821	0	0	0	0	1.2498	0	1.2498	0	0
PWY-6353	1749.4416	1987.19	2429.6579	2457.9289	1351.5048	1652.192	2180.3218	1755.68	3415.0258	1253.222	2586.964	3210.0966	2295.6981	1856.1441	2527.4843	2224.0387	2869.7128	2987.7066	2059.9509	889.7803	1434.4832	2192.0227	2232.8451	707.1401	2794.0246	1620.8417	1309.6332	1432.6008	2488.1872	1655.954	4698.3122	1793.7098	2260.6128	1009.3765	1065.8333	1020.2609	894.27	1187.0785	1262.0627	1724.6991	1510.9487	2079.665	2402.2233	2063.9984	1867.4386	3386.1533	421.8098	1636.9634	863.7608	1463.902	1329.8033	672.6622	1103.4695	1166.8215
PWY-6383	0	0	0	0	0	3.7924	3.817	0	5.5619	0	0	0	0	0	0	1.9979	0	0	0	0	0	0	3.9759	0	1.9772	0	1.9624	0	0	0	0	0	0	0	0	0	1.9322	0	1.9756	0	1.9643	0	0	0	0	0	0	1.8886	0	0	0	0	0	0
PWY-6385	4722.9038	4606.8987	6596.6772	8053.2304	8744.3753	8349.9611	5316.4691	5633.7724	8006.0339	7377.3994	5924.0167	7064.4277	6675.2481	6578.5251	6937.3353	4670.9026	5875.1256	4932.2419	6631.3536	5018.5374	6964.2219	5431.7373	6128.5351	2045.2873	5815.8902	5459.8426	6649.5442	6225.0138	6169.182	5408.2049	6945.0043	6101.0176	6226.8814	3887.5622	2873.1092	5931.9634	3707.7509	3066.1361	3868.1368	5987.3608	6269.6918	5940.706	5948.5519	6534.5406	6160.8273	7358.4445	2014.0523	4825.9058	3280.3731	4942.8765	5196.0293	3775.2863	6339.0751	6225.6703
PWY-6386	4818.0181	4687.4837	6788.4372	8258.0935	8880.1649	8527.3467	5429.6415	5696.7595	8145.6693	7443.2223	6000.2252	7136.6948	6846.7601	6738.765	7092.8775	4792.6707	6039.6362	5071.1435	6772.5549	5064.0769	7066.4144	5573.8684	6263.9173	2077.8897	5965.7074	5575.9689	6783.0498	6366.9376	6316.027	5537.6137	7123.7471	6204.9931	6365.412	4007.5696	2958.2452	6133.0733	3796.8473	3119.3905	3940.3406	6159.304	6450.0414	6098.5008	6109.9658	6718.2393	6333.9165	7492.0565	2035.1492	4897.7075	3337.636	5063.1282	5339.9216	3819.7351	6374.0554	6262.4137
PWY-6387	4778.1137	4666.1981	6727.2785	8201.4148	8866.4319	8446.9906	5360.9391	5663.0916	8069.1699	7404.1817	5960.8621	7105.8811	6751.2273	6644.524	7002.2799	4735.8232	5947.6632	4989.6834	6688.3723	5037.8644	7005.9459	5488.744	6186.8332	2060.925	5875.1478	5506.957	6702.3574	6281.5568	6230.3628	5465.735	7024.5307	6150.029	6287.6656	3935.9068	2910.0144	6011.1401	3748.1732	3095.3221	3902.8156	6059.9438	6362.5878	6011.0958	6021.5	6610.1881	6236.5179	7461.1793	2033.5973	4863.116	3301.9243	4989.5854	5252.6857	3840.3612	6497.9259	6383.5995
PWY-6396	0.4571	0	0.2286	0.2286	0.4186	1.2906	9.1724	3.657	10.6195	1.1555	1.3797	0.6518	4.3999	1.2973	0.96	0	0	0	0	0	0.4571	0.9143	4.9133	2.0974	0.9714	1.7714	1.427	3.3142	38.9136	3.9318	0	0	2.494	0.5647	0.2857	2.1911	0.9714	0.2286	12.6975	0.9143	0	1.0286	1.9854	5.8836	0.8387	13.6522	0.7428	6.3593	0.5143	1.4857	5.8183	1.2	9.2472	16.912
PWY-6467	743.85	1024.48	353.21	335.87	158.34	222.29	2079.33	3812.6	1031.52	5480.62	1323.88	3737.81	1532.24	2157.31	1757.31	1036.43	998.12	1663.55	3154.51	3466.44	3358.45	1953.61	1434.68	1194.03	1206.08	1910.72	2995.51	245.43	1128.96	378.22	1963.92	2862.39	2057.97	207.49	298.68	212.01	1088.35	1422.3	1428.73	1051.78	941.56	1003.36	770.01	547.28	483.32	2028.49	1372.09	2682.02	1529.71	1079.34	876.42	100.17	151.72	519.46
PWY-6470	3.8355	0	1.9192	1.9193	2.3988	23.4162	80.8642	29.5211	122.851	22.8439	16.2105	20.9283	24.8289	9.5792	5.7526	0	0	0	0	0	3.8344	7.6624	26.2306	5.7287	8.1446	14.8193	5.7517	27.6713	306.3363	31.4544	0	9.5702	36.5913	11.4791	2.3974	15.7009	8.1348	1.9177	102.2996	7.6671	0	8.6232	15.7871	36.2263	21.5072	113.354	6.1077	48.3052	4.3084	12.4372	46.9448	10.0308	74.3444	129.7128
PWY-6471	2996.8867	2649.9557	4116.3017	4968.6472	4044.9068	4724.8818	2753.1571	627.4485	2777.6196	2455.3058	2070.2531	1980.9671	4329.3413	4093.3607	4032.3083	1712.1214	1432.1493	758.0161	3287.8322	785.3322	2282.0062	3030.1423	3705.7644	980.3214	3997.8888	3377.0535	3726.9474	4132.0042	3920.3912	4082.9573	3117.3137	2746.157	3288.3392	3029.5857	2095.8135	1599.7043	2451.1419	1485.716	2091.5926	4258.3199	4366.4868	4107.5443	4426.2193	4840.1593	4686.7331	2721.5761	241.2448	1860.6307	1412.1821	3328.6454	3579.3911	1814.3303	2540.9172	2859.9926
PWY-6478	753.7771	1003.511	214.3874	291.6553	242.0767	258.0552	144.2123	174.5939	68.2695	102.431	413.1553	196.3967	337.3152	351.575	462.107	220.819	353.0913	403.4224	189.8351	189.1667	184.3158	198.7885	398.784	71.5892	219.9866	217.9978	158.2202	216.7912	170.0867	210.2142	197.7178	158.2046	206.5427	195.4535	185.9548	85.7433	969.2155	1264.1385	1133.141	236.5304	177.4126	250.9846	308.5493	366.8098	442.3296	519.2006	56.0061	130.3899	1414.9169	741.6773	654.1904	159.1676	181.6154	894.4493
PWY-6507	1641.7039	1837.2949	1316.4447	1155.7841	490.667	660.786	3832.7356	5860.6199	2398.5647	7781.5099	3359.7939	6085.814	3314.4014	4601.5384	4175.5911	2028.4579	2380.346	3254.8622	5325.7107	5395.3905	5549.7973	3750.0085	3417.4481	1822.4022	2937.4573	3748.9999	5251.6855	1018.1105	2887.506	1304.8601	4373.4081	5609.4326	4626.8974	669.4502	755.4967	645.6947	1576.229	1923.0186	2108.0779	2725.7351	2671.4122	2332.7535	2141.3637	1699.2996	1361.7133	5481.7401	2278.5949	4601.4597	2117.9404	2360.8989	2113.372	622.8445	800.0006	1764.3349
PWY-6519	610.3993	387.7753	850.7661	641.025	126.4769	206.0494	3744.4639	6635.1245	2512.2565	10454.3616	2976.098	7824.3735	3019.4105	4427.0361	4031.4694	2315.6566	1991.3889	2952.3942	6447.1925	6190.8319	6888.1062	3471.9348	3339.526	2428.6948	2840.4559	3217.2897	6312.4473	431.0456	2275.4292	830.7682	3942.8883	5852.4481	4490.5561	248.0012	408.2651	468.9324	567.1114	597.966	1324.0517	2191.1997	2319.4124	1839.9508	1495.609	987.6289	709.6393	4857.0346	2284.253	5322.4334	654.5766	1741.3832	1441.309	234.1356	348.523	503.3395
PWY-6545	409.9297	394.6671	851.3437	873.8861	491.1263	712.5623	1296.3853	1152.1914	1313.7683	1885.8194	1295.6585	1343.0853	2403.499	2797.9881	1991.9863	1434.343	1215.3406	1565.9441	2181.1516	548.9395	2280.8012	1425.7661	1722.769	825.8538	1734.1004	2198.6188	2921.5536	513.1888	1577.2096	882.25	1598.5239	1775.6075	1966.8369	585.8335	603.3994	374.8719	649.5176	522.1983	921.3807	1559.1347	1583.41	1793.3007	1544.7091	1226.0018	857.4397	2144.4706	326.0177	1137.8307	321.8269	963.7764	801.4228	203.2944	414.2481	282.0771
PWY-6562	0	0	0	0	0.4	0.8	2.3917	0	0	0.4	0	0	14.8297	0.4794	0.9593	50.7515	2.8777	34.1637	9.0895	0	0	0	6.6795	20.664	0	0	3.8318	0	0	0.4798	0	0.7999	3.9985	0	0	0.9577	0	0	0.7999	0	0	0	8.5857	5.2729	2.3978	0	0	1.1998	0	0	0.48	0	0.4714	1.9993
PWY-6572	94.0709	34.1398	109.6752	163.3888	27.8552	50.8425	1800.3269	3148.6539	619.9732	2204.6427	1190.7845	1218.9925	717.8342	833.6541	704.7408	414.6972	538.1636	1114.7381	1601.8406	2422.6848	1260.0248	1569.7816	667.3099	611.938	569.308	1943.1774	1116.7722	175.3555	965.3211	179.1445	614.0376	1091.4509	645.0829	72.3614	101.5215	104.9903	92.2821	34.2477	217.2436	681.6416	344.116	494.7885	374.337	201.3543	164.1237	786.9622	1193.1295	1527.9001	40.7923	232.0967	232.8451	57.2022	57.9641	65.3376
PWY-6588	935.9095	231.6028	1994.047	1184.3174	563.1659	1104.4673	968.4022	392.7106	624.8085	195.4425	511.0821	712.6888	1216.1929	1262.1512	1034.2411	3131.8424	4508.5653	3190.5716	371.8233	87.9461	563.4176	711.5956	996.7571	172.8731	644.0319	822.56	531.5341	1345.1795	1348.876	1307.4869	4112.5675	1122.4113	1794.5964	1110.6978	997.8413	687.3147	843.7795	680.746	643.2995	1238.5936	1353.0645	1314.7333	2400.4262	1791.7197	1971.6709	1014.2454	23.8563	238.0169	535.7851	835.602	1366.7025	345.9874	400.2237	617.3828
PWY-6590	51.3777	25.8684	131.3802	232.8441	139.1511	211.0008	72.9705	0	2.608	31.0558	70.6969	4.4961	1221.8102	1503.5654	321.7349	1139.693	328.2575	728.5588	33.8868	11.5603	0	13.4475	723.9135	271.648	1.2594	44.3701	14.3401	43.1773	46.1871	85.5837	1096.5831	459.7004	1147.4605	169.7295	79.6032	93.3834	137.9183	52.9876	110.9873	676.1086	415.7957	1087.9927	599.3703	630.2913	426.5811	55.8722	5.7082	28.202	20.0168	29.1342	119.886	55.2781	125.8328	323.8526
PWY-6608	1365.0209	1529.9223	2704.807	2537.0547	2003.1908	2800.1472	1844.3077	1400.647	2634.746	858.8441	1880.3255	2308.9206	2175.7782	1668.8279	2499.6922	1977.8785	2847.905	2928.2894	1697.2217	1084.978	1287.27	1588.2297	2099.275	631.6118	2378.45	1638.2184	1409.5057	1643.0508	2459.8865	1602.989	4153.2004	2191.3616	2475.4937	1322.5128	1165.1185	1084.1837	848.4715	984.1698	1113.1149	1539.0907	1653.048	1725.1948	2185.514	2028.0183	1728.4518	3589.9328	414.7363	1370.0993	617.8917	1743.8949	1562.2471	1010.5135	1786.4578	1415.5661
PWY-6609	4849.7089	4881.1636	6899.3866	8634.7569	9530.573	8676.329	5184.1502	5653.009	7801.4425	7637.2526	5906.7966	7466.3735	6830.2715	7058.3785	7179.8826	4249.2041	5927.5663	4998.38	6720.6396	5015.4314	6698.2399	5647.58	6434.1529	2177.2603	6166.2722	5863.5109	7062.0364	6353.938	6456.6141	5609.3756	7639.5257	6342.7743	6543.4961	4201.1969	3095.5954	5832.7557	3977.2238	3256.2824	4018.8307	6474.3805	6625.7682	6357.7366	6540.9013	6933.2189	6766.7896	7617.2289	2046.2445	4928.9351	3169.8442	4934.2648	5291.0617	4040.9522	7056.7617	7054.4068
PWY-6612	2649.4159	2660.02	3128.5395	2784.3618	2193.2931	2858.5247	4419.213	5437.7476	4213.12	6705.8162	3793.5638	5994.9491	4039.8908	4468.8922	4592.1779	2706.8814	3041.3983	3301.7834	5093.7462	4655.9622	5244.9803	3647.0529	3877.3412	1704.4898	3602.3207	3807.5124	4808.7835	3232.6528	3747.6886	3221.5655	5325.6612	5089.5296	4759.283	1405.3859	1340.4467	885.9386	2221.2916	2339.5276	2616.0114	3081.7036	3090.658	3070.3208	3329.8646	3052.8176	2856.3997	5538.6595	1868.5032	4141.9594	2312.4339	3196.6685	2784.6002	1170.641	1896.0944	2573.3539
PWY-6628	564.6187	743.9241	1906.4568	2956.371	2045.8102	1977.3827	442.6682	769.1938	1437.8086	304.1559	1054.7569	261.1736	1001.6413	1229.1498	1340.6739	2978.2952	767.8474	820.0071	616.6753	339.5206	492.9777	476.9446	1720.3364	433.0244	326.1861	509.1805	167.2399	531.8523	429.2313	442.2718	312.2384	176.5756	258.6026	838.4925	842.154	267.1242	1209.2342	647.897	1340.2353	723.722	1292.9107	725.6624	1738.3701	1361.4718	1681.1788	824.7533	45.3924	372.079	37.5267	210.4534	328.2328	77.5956	247.5398	429.5602
PWY-6630	563.5676	740.5447	1906.028	2955.7715	2045.5027	1977.2369	442.6456	769.0342	1437.6292	304.1411	1054.6288	261.1686	1001.4885	1228.9654	1340.5507	2974.6391	767.4439	819.0814	616.6217	339.5013	492.9532	476.9154	1720.0344	432.95	326.1679	509.1367	167.2367	531.8337	429.222	442.2454	312.2246	176.572	258.5945	838.4381	841.9803	267.1187	1196.7466	638.695	1324.2831	723.6442	1292.4602	725.4673	1737.5096	1361.1615	1679.5973	824.7078	45.392	372.0573	37.494	210.324	328.0028	77.5939	247.5368	429.3039
PWY-6641	18.3949	1.9997	34.8985	4.0265	0	6.4533	0	0	0	0	0	0	23.2016	21.775	23.9783	0	0	0	0	0	0	0	4.9343	0	0	0	0	16.8811	22.097	21.412	0	0	0	5.6895	0.712	2.6958	2.4379	14.628	4.2193	11.7862	10.2402	8.8771	11.7958	5.4148	0	0	0	0	0	0.676	0	4.1838	0	0
PWY-6654	13.9629	1.9992	37.7787	1.9996	0	5.9964	0	0	0	0	0	0	47.7061	57.5805	13.9781	0	0	0	0	0	0	0	1.9995	0	0	0	0	9.9862	49.6588	55.4253	0	0	0	9.9665	7.9702	9.9545	1.9987	9.9643	3.9961	17.9502	45.7052	41.7394	21.9034	9.9836	19.9202	0	0	0	0	1.9992	0	1.9988	0	0
PWY-6700	1487.8807	1903.0002	1266.9625	1482.0784	1060.82	1414.7543	3421.7694	5165.2215	2501.9374	6931.9414	2825.7701	5755.1534	2503.7866	3347.0807	3304.9459	1786.4742	1922.513	2419.9459	4667.9934	4374.6246	4839.6432	3186.3477	2787.4827	1644.077	2435.1023	3207.4328	4604.971	1306.3046	2564.8331	1908.103	3610.2416	4529.4327	3582.1573	636.2973	796.1024	602.9184	2161.6775	2197.3183	2328.4762	2370.6667	2486.1412	1930.1239	2132.2597	1646.8996	1672.8436	3691.856	1789.1916	3773.7918	2261.8259	2245.2342	2186.211	389.4628	561.3267	1420.032
PWY-6703	1588.1998	1544.5475	2074.5005	1334.6663	916.5933	1292.0435	3048.8533	5068.3684	1982.4838	7261.3061	2347.7738	5607.041	2682.1949	3665.5456	2982.3972	1521.3226	2320.4169	2365.5678	4367.3648	4287.0272	4540.2923	2764.3504	2462.1328	1634.4789	2206.9886	2877.9449	4415.0506	1092.7221	2213.9856	1693.759	3517.6266	4510.663	3671.5281	639.6794	732.9827	482.0274	1619.9111	1800.0807	1945.0813	1989.4089	1899.7195	2091.6886	2087.7758	1820.204	1640.1995	3299.9156	1726.4779	3663.6878	1793.4802	1982.2541	1722.8075	325.6313	463.4979	1109.8757
PWY-6708	0	0	2.8366	2.8332	1.2201	1.7178	10.3548	0	0.722	1.1907	2.4472	0	16.103	1.5739	23.3793	757.7551	20.1003	68.1692	9.3344	3.2097	0	0	154.7311	72.021	0.3497	12.3084	3.9742	5.9347	1.7705	6.1547	1.0744	2.7678	8.1852	1.4185	0.7238	3.8367	0.7235	0.7236	1.3456	1.0739	0.7242	1.7732	9.6388	6.5321	2.4923	0.7231	0.3459	5.3361	0.7217	0.7234	0.8482	11.3157	29.9345	72.8505
PWY-6737	6247.57	6378.9307	8422.5465	10827.3621	11931.122	11142.5046	8697.0997	9126.5017	12192.989	12524.1795	9356.6975	11441.5748	9182.8357	9660.6587	10644.2204	5807.5206	6984.5837	6299.2043	11115.2772	7784.3802	10665.9942	9337.3693	9420.6283	3588.3912	9051.6333	9007.2201	11302.9904	8536.6799	9220.3883	7370.8582	9004.3978	9199.2361	8956.2425	4912.1656	3639.6963	3463.9271	5001.9146	4177.5951	5300.1717	8634.9682	8949.7353	7958.5211	7934.6721	8279.2734	8016.6551	10793.562	3023.8936	7732.814	4601.8452	6986.448	7221.4587	4945.7642	7717.4326	7482.2183
PWY-6749	985.75	1030.2697	1338.3513	2018.0517	1277.4903	1664.2762	1293.7742	778.3713	1045.3433	1188.564	498.1305	674.2318	2179.0867	2414.9237	1927.6784	655.6145	718.3634	834.6196	2092.7852	599.9091	889.7495	2205.642	1824.9089	579.3933	2185.7114	1913.0334	2342.2898	1584.6042	1925.4377	1832.9333	1387.8604	1382.6798	1554.5673	1817.3694	1170.9842	632.151	1432.5387	683.8048	979.4005	2658.1875	2424.8254	2244.8162	2382.218	2570.3516	2744.3976	1139.023	338.25	983.9906	481.491	1395.9578	1867.9333	634.2065	908.8148	1424.9905
PWY-6876	21.5936	11.6364	23.6086	60.0665	13.9867	24.2966	15.9515	2.3381	10.9898	4.6529	22.9405	712.6888	13.6403	67.8136	134.0421	9.9892	37.8831	66.1543	18.2744	1.9987	2.9987	58.7239	172.8116	37.2801	84.0746	14.6193	47.54	15.6343	34.8494	50.668	176.6986	21.9245	10.6466	4.3364	9.3178	7.9777	24.208	145.8487	53.7349	10.9853	8.6519	195.4155	47.7386	24.9378	14.3182	0.6599	0	2.3384	7.9799	14.6197	48.616	32.1333	14.953	0.9998
PWY-6891	1487.0966	515.9414	2633.2526	942.923	549.0156	1012.8413	1011.2279	210.4015	448.5879	120.1031	434.6898	87.0058	577.5524	372.8405	516.6507	1267.6883	1682.2405	754.8115	287.9691	197.2222	273.9679	276.2559	594.5725	186.2963	467.6277	541.488	525.8441	824.786	574.698	1031.8055	1011.4361	876.2082	674.8005	238.1778	240.204	134.4203	255.64	285.113	414.063	330.6429	374.8743	370.1716	970.2237	925.9598	807.361	477.6677	77.1806	188.5365	124.2281	835.589	333.0274	228.7676	319.9739	405.732
PWY-6892	4079.8437	4111.5362	5420.4233	6976.5939	8334.8171	7645.4121	5612.0277	6255.3705	8426.5002	8212.2574	6246.7042	7742.476	5019.2189	5138.366	6307.6581	3199.165	4023.6319	3537.8192	6503.5523	5365.328	6839.7119	5090.2814	5421.6244	2006.6142	4702.4317	4522.2232	5997.2248	5792.3634	5423.4132	4428.7346	5312.7292	5688.8588	5495.242	2369.7824	1855.718	5759.6627	2731.7417	2670.6514	3196.0796	4224.3968	4515.8919	3959.4379	3766.5963	4036.8714	3604.4905	6403.3457	2078.0025	4941.3295	2984.2631	3796.248	3370.6866	2659.2406	3058.1341	2343.4558
PWY-6895	1577.6744	1276.4957	963.3988	921.6954	490.5985	728.0491	2374.3836	913.8812	1249.1987	564.1696	1304.3147	410.4502	1685.6602	1345.1766	1601.3654	1835.6813	2066.6211	1902.2271	1174.3083	852.9091	1144.2888	1037.7094	1601.4406	645.6262	1316.6311	1636.8484	1818.2178	665.4721	1457.1194	1121.4287	2456.6935	2476.8239	1948.3277	415.6128	497.3973	341.3099	836.3336	964.3489	1250.6854	1039.2368	1081.8592	1135.3617	1497.8519	1288.2279	1133.0717	1582.1255	333.3537	796.8851	521.8619	1607.4185	953.3041	252.2118	394.0372	814.8838
PWY-6897	4208.4152	3971.1726	5854.9235	7045.5838	8748.8726	7723.1462	3962.8234	5311.2409	7632.0488	7096.6128	5548.36	5563.0892	4412.7392	4013.8018	5371.4537	3557.0699	5151.0047	3696.511	4845.0088	4842.4144	5308.3062	3639.2245	4760.0049	1608.8603	3912.7576	3174.4748	4504.5729	5712.3687	4735.0546	4349.9225	5347.3607	4354.9387	4399.0953	2669.3691	2128.0774	5405.0746	2545.8957	2361.8595	2920.571	3752.2412	4188.3425	3901.238	4125.7905	4516.058	4185.7458	6102.0244	1879.8106	3936.204	2565.8662	3395.244	3235.789	3516.5005	5669.5316	5122.1927
