pathway	UCH_02_Basal	UCH_02_Cronico	UCH_02_PosI	UCH_03_Basal	UCH_03_Cronico	UCH_03_PosI	UCH_04_Basal	UCH_04_Cronico	UCH_04_PosI	UCH_05_Basal	UCH_05_Cronico	UCH_05_PosI	UCH_07_Basal	UCH_07_Cronico	UCH_07_PosI	UCH_08_Basal	UCH_08_Cronico	UCH_08_PosI	UCH_09_Basal	UCH_09_Cronico	UCH_09_PosI	UCH_10_Basal	UCH_10_Cronico	UCH_10_PosI	UCH_11_Basal	UCH_11_Cronico	UCH_11_PosI	UCH_12_Basal	UCH_12_Cronico	UCH_12_PosI	UCH_13_Basal	UCH_13_Cronico	UCH_13_PosI	UCH_15_Basal	UCH_15_Cronico	UCH_15_PosI	UCH_16_Basal	UCH_16_Cronico	UCH_16_PosI	UCH_17_Basal	UCH_17_Cronico	UCH_17_PosI	UCH_18_Basal	UCH_18_Cronico	UCH_18_PosI	UCH_19_Basal	UCH_19_Cronico	UCH_19_PosI	UCH_20_Basal	UCH_20_Cronico	UCH_20_PosI	UCH_21_Basal	UCH_21_Cronico	UCH_21_PosI
PWY-5747	0	0	1.14	1.14	0.323	0.3392	3.4936	0	0.29	0.323	1	0	0.381	0.4671	9.3869	506.8942	7.2658	16.489	0	1.29	0	0	75.5409	37.7418	0.14	5	0	2.43	0.71	2.3369	0.43	0.7803	1.5212	0.57	0.29	1.2192	0.29	0.29	0.1718	0.43	0.29	0.71	0.3773	0.5437	0	0.29	0.14	1.6866	0.29	0.29	0.1641	5.14	14.1895	43.9558
PWY-5837	3.4901	10.4387	27.8657	10.537	20.7829	40.2987	15.868	11.644	3.9141	5.8065	27.6502	47.4803	100.6551	28.4336	149.8767	678.2394	176.0346	115.2057	20.4377	4.1732	17.4411	1.1661	244.9285	160.4132	10.2733	34.5876	102.5543	8.7852	4.7455	10.2143	82.8545	47.1725	60.1228	27.4667	55.4566	21.2679	70.9725	40.3919	91.6344	27.9863	8.2712	6.2899	21.4043	19.4552	28.3328	8.8184	0.3266	18.5283	5.3325	8.8007	8.9034	14.0577	50.6043	97.9673
PWY-5838	11.8529	34.9748	84.3175	33.4996	51.3905	92.8636	53.5978	39.6482	13.3141	19.8576	90.5977	158.2022	303.8996	94.8106	429.8699	960.1967	442.359	344.9923	69.11	14.2712	59.0965	3.9931	609.8152	415.689	34.5714	113.8562	325.936	28.4305	16.1202	33.6658	261.8363	156.0415	194.1888	66.3767	120.0515	59.5055	207.579	129.5129	269.9239	91.3055	27.8786	21.3183	69.4984	61.9938	86.4152	29.9456	1.1193	62.5708	18.1314	29.6433	29.8499	37.3156	99.2959	234.9251
PWY-5840	11.8592	35.0096	85.1166	33.6737	52.6289	95.9825	53.6117	39.6269	13.3201	19.8515	90.7785	158.1042	305.7	94.9004	432.8513	986.6675	448.9007	346.3666	69.112	14.2679	59.0975	3.9933	617.5033	412.4353	34.6012	113.9761	326.1238	28.5819	16.1278	33.7896	262.6846	156.0637	194.556	67.9601	122.9957	60.2668	208.7461	129.5726	270.9841	91.5637	27.9067	21.333	69.7613	62.3114	87.1579	29.9565	1.1192	62.549	18.1321	29.6668	29.8833	37.8884	102.0085	238.9716
PWY-5845	8.9215	26.4476	66.499	25.8591	43.5389	82.1553	36.0151	0	3.0292	4.9095	11.005	5.8499	65.8454	7.1728	101.3309	848.3735	176.3106	223.8507	31.5941	10.7139	28.4389	2.9963	430.3871	274.5263	25.6703	73.7509	49.4172	18.9326	6.2916	18.5967	5.09	12.5896	34.6335	22.6234	14.0271	15.0422	30.014	14.301	12.0806	27.8123	20.6228	16.0664	50.4517	45.1778	68.1627	22.5392	0.8396	43.426	3.0837	19.022	22.5713	30.6221	73.7464	197.6677
PWY-5850	8.9215	26.4476	66.499	25.8591	43.5389	82.1553	36.0151	0	3.0292	4.9095	11.005	5.8499	65.8454	7.1728	101.3309	848.3735	176.3106	223.8507	31.5941	10.7139	28.4389	2.9963	430.3871	274.5263	25.6703	73.7509	49.4172	18.9326	6.2916	18.5967	5.09	12.5896	34.6335	22.6234	14.0271	15.0422	30.014	14.301	12.0806	27.8123	20.6228	16.0664	50.4517	45.1778	68.1627	22.5392	0.8396	43.426	3.0837	19.022	22.5713	30.6221	73.7464	197.6677
PWY-5855	0	0	2.8366	2.8332	1.2201	1.7178	10.3548	0	0.722	1.1907	2.4472	0	16.103	1.5739	23.3793	757.7551	20.1003	68.1692	9.3344	3.2097	0	0	154.7311	72.021	0.3497	12.3084	3.9742	5.9347	1.7705	6.1547	1.0744	2.7678	8.1852	1.4185	0.7238	3.8367	0.7235	0.7236	1.3456	1.0739	0.7242	1.7732	9.6388	6.5321	2.4923	0.7231	0.3459	5.3361	0.7217	0.7234	0.8482	11.3157	29.9345	72.8505
PWY-5856	0	0	2.8366	2.8332	1.2201	1.7178	10.3548	0	0.722	1.1907	2.4472	0	16.103	1.5739	23.3793	757.7551	20.1003	68.1692	9.3344	3.2097	0	0	154.7311	72.021	0.3497	12.3084	3.9742	5.9347	1.7705	6.1547	1.0744	2.7678	8.1852	1.4185	0.7238	3.8367	0.7235	0.7236	1.3456	1.0739	0.7242	1.7732	9.6388	6.5321	2.4923	0.7231	0.3459	5.3361	0.7217	0.7234	0.8482	11.3157	29.9345	72.8505
PWY-5857	0	0	2.8366	2.8332	1.2201	1.7178	10.3548	0	0.722	1.1907	2.4472	0	16.103	1.5739	23.3793	757.7551	20.1003	68.1692	9.3344	3.2097	0	0	154.7311	72.021	0.3497	12.3084	3.9742	5.9347	1.7705	6.1547	1.0744	2.7678	8.1852	1.4185	0.7238	3.8367	0.7235	0.7236	1.3456	1.0739	0.7242	1.7732	9.6388	6.5321	2.4923	0.7231	0.3459	5.3361	0.7217	0.7234	0.8482	11.3157	29.9345	72.8505
PWY-5860	5.9701	17.7742	46.7234	17.6269	31.4456	61.6283	24.1328	0	2.0212	3.274	7.3557	3.9017	44.3812	4.7861	68.8038	748.8296	123.989	155.4164	21.1274	7.1487	19.0087	1.9985	315.4163	198.1767	17.2236	49.7725	33.1207	12.8945	4.2019	12.5389	3.3956	8.4044	23.1958	15.7169	9.5203	10.2348	20.2038	9.565	8.0772	18.6593	13.8252	10.7451	34.2212	30.7349	47.1276	15.0777	0.5598	29.092	2.0572	12.7528	15.165	22.2553	57.5566	150.585
PWY-5861	7.9415	23.5663	60.1116	22.9876	37.6828	70.8168	36.0043	26.5192	8.9106	13.254	61.71	106.8102	213.3443	63.9457	310.5087	885.3412	339.1636	245.0166	46.3836	9.525	39.6117	2.6637	466.2135	313.4294	23.2476	77.3565	225.1816	19.5755	10.7959	22.9105	180.8389	105.7924	132.8905	50.1978	94.3622	43.1136	148.2526	88.954	192.4061	62.1579	18.7261	14.2725	47.4529	42.4987	60.3469	20.055	0.7463	42.0079	12.1349	19.9363	20.1059	27.6652	82.3683	183.9152
PWY-5862	5.9701	17.7742	46.7234	17.6269	31.4456	61.6283	24.1328	0	2.0212	3.274	7.3557	3.9017	44.3812	4.7861	68.8038	748.8296	123.989	155.4164	21.1274	7.1487	19.0087	1.9985	315.4163	198.1767	17.2236	49.7725	33.1207	12.8945	4.2019	12.5389	3.3956	8.4044	23.1958	15.7169	9.5203	10.2348	20.2038	9.565	8.0772	18.6593	13.8252	10.7451	34.2212	30.7349	47.1276	15.0777	0.5598	29.092	2.0572	12.7528	15.165	22.2553	57.5566	150.585
PWY-5863	3.9882	11.926	31.8265	12.04	23.7436	46.0229	18.1269	13.3034	4.4729	6.6352	31.5786	54.2098	114.7776	32.4747	170.7374	756.3723	200.2873	131.2037	23.3468	4.7688	19.9254	1.3326	278.2374	181.1565	11.7379	39.4916	116.9374	10.0382	5.4229	11.6702	94.5229	53.8501	68.6135	31.3575	63.1971	24.2932	80.8809	46.0727	104.3582	31.9621	9.451	7.1874	24.449	22.2246	32.358	10.0764	0.3733	21.1632	6.0928	10.0553	10.1728	16.0568	57.7609	111.6846
PWY-5896	8.9215	26.4476	66.499	25.8591	43.5389	82.1553	36.0151	0	3.0292	4.9095	11.005	5.8499	65.8454	7.1728	101.3309	848.3735	176.3106	223.8507	31.5941	10.7139	28.4389	2.9963	430.3871	274.5263	25.6703	73.7509	49.4172	18.9326	6.2916	18.5967	5.09	12.5896	34.6335	22.6234	14.0271	15.0422	30.014	14.301	12.0806	27.8123	20.6228	16.0664	50.4517	45.1778	68.1627	22.5392	0.8396	43.426	3.0837	19.022	22.5713	30.6221	73.7464	197.6677
PWY-5897	10.3896	30.7287	75.5477	29.7217	47.6173	87.3578	47.0295	34.7352	11.6668	17.3832	79.9154	139.1319	271.9813	83.3826	387.6341	941.0359	407.2463	309.1013	60.6237	12.4932	51.8187	3.4948	561.7827	380.1567	30.3519	100.3426	288.9789	25.1746	14.129	29.7045	232.5139	137.4141	171.7505	61.6537	112.8004	53.9151	186.5429	114.6529	242.3011	80.6366	24.472	18.6948	61.4535	54.9971	77.302	26.2479	0.9794	54.8993	15.8883	26.0211	26.2239	34.0773	94.1702	217.3098
PWY-5898	10.3896	30.7287	75.5477	29.7217	47.6173	87.3578	47.0295	34.7352	11.6668	17.3832	79.9154	139.1319	271.9813	83.3826	387.6341	941.0359	407.2463	309.1013	60.6237	12.4932	51.8187	3.4948	561.7827	380.1567	30.3519	100.3426	288.9789	25.1746	14.129	29.7045	232.5139	137.4141	171.7505	61.6537	112.8004	53.9151	186.5429	114.6529	242.3011	80.6366	24.472	18.6948	61.4535	54.9971	77.302	26.2479	0.9794	54.8993	15.8883	26.0211	26.2239	34.0773	94.1702	217.3098
PWY-5899	10.3896	30.7287	75.5477	29.7217	47.6173	87.3578	47.0295	34.7352	11.6668	17.3832	79.9154	139.1319	271.9813	83.3826	387.6341	941.0359	407.2463	309.1013	60.6237	12.4932	51.8187	3.4948	561.7827	380.1567	30.3519	100.3426	288.9789	25.1746	14.129	29.7045	232.5139	137.4141	171.7505	61.6537	112.8004	53.9151	186.5429	114.6529	242.3011	80.6366	24.472	18.6948	61.4535	54.9971	77.302	26.2479	0.9794	54.8993	15.8883	26.0211	26.2239	34.0773	94.1702	217.3098
PWY-5910	1.8285	0	0.9815	0.7875	0.4968	6.3621	15.95	5.577	23.3125	4.3927	3.3196	4.3935	10.966	4.7229	2.6654	0	0	0	0	0	0.7676	1.5914	6.1313	1.1971	1.6931	3.0312	1.1944	8.3426	74.1903	13.8217	0	1.9696	7.2479	4.3432	1.1324	5.5659	2.2196	0.9435	22.3712	3.4727	0	4.2191	6.7266	10.0387	8.3199	20.5484	1.1156	9.1719	0.8831	3.0494	9.5712	2.5793	15.0672	26.8366
PWY-5913	1334.387	372.2456	1236.9465	616.0884	305.2609	470.6925	2424.3344	3590.7461	686.8475	3335.7117	2185.0429	1861.7594	2597.8558	2903.3104	1214.7368	2229.115	1115.0646	1943.7433	813.4688	1203.1744	886.609	1091.8086	1269.0098	1026.8915	1153.7081	3151.6937	1775.548	843.048	1694.4737	1414.9248	1869.9808	1612.7516	2016.0191	347.2596	326.774	300.9966	508.5678	294.5672	598.9902	1336.755	884.5921	1956.5669	1969.4386	1225.3075	770.7221	615.4906	455.6948	1202.1569	168.6763	1081.3546	570.9821	122.8046	241.1679	382.1278
PWY-5918	165.279	137.169	93.7775	237.3617	247.8955	195.8909	67.4838	21.7258	33.4959	33.9733	55.6474	38.0316	1036.2507	1216.4109	291.3663	1107.6786	388.3887	551.2985	34.1714	8.5218	41.9402	6.2805	296.0114	142.2715	53.5604	79.8236	96.5943	59.3787	94.7744	130.1085	823.2796	347.6453	916.0245	118.1389	52.5292	112.5008	284.6448	93.8735	350.5291	572.9654	368.7671	918.1706	502.3443	564.8227	414.458	39.8771	6.7142	46.4494	41.5525	112.0792	209.9116	47.3173	104.417	253.4767
PWY-5920	0	0	4.3833	4.4913	1.9474	2.7316	14.4335	0	1.1291	1.8732	3.802	0	25.4578	2.5159	35.2285	260.7252	30.8749	100.2155	11.443	3.7031	0	0	143.9908	0.4788	0.5558	16.8795	6.1213	8.6998	2.782	9.4552	1.7171	4.395	13.0138	2.2458	1.1414	5.8959	1.1569	1.151	2.1514	1.7161	1.1572	2.8332	15.1793	10.3651	3.9705	1.1374	0.5261	7.6241	1.1401	1.1524	1.3542	15.6114	40.4885	121.5298
